ORDRE;FAMILLE;SOUS_FAMILLE;CD_NOM;CD_TAXSUP;CD_SUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_COMPLET_HTML;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;SONOTYPE;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;TAAF;PF;NC;WF;CLI;URL
Chiroptera;Molossidae;;60562;;;60557;ES;Tadarida nigrogriseus;;Tadarida nigrogriseus ;<i>Tadarida nigrogriseus</i>;Tadarida teniotis (Rafinesque, 1814);Molosse de Cestoni;European Free-tailed Bat;FMd-QCF;3;P;;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/60562
Chiroptera;Molossidae;;60563;;;60557;ES;Tadarida rüppellii;;Tadarida rüppellii ;<i>Tadarida rüppellii</i>;Tadarida teniotis (Rafinesque, 1814);Molosse de Cestoni;European Free-tailed Bat;FMd-QCF;3;P;;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/60563
Chiroptera;Molossidae;;60564;;;60557;ES;Tadarida savii;;Tadarida savii ;<i>Tadarida savii</i>;Tadarida teniotis (Rafinesque, 1814);Molosse de Cestoni;European Free-tailed Bat;FMd-QCF;3;P;;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/60564
Chiroptera;Molossidae;;60559;;;60557;SSES;Tadarida teniotis teniotis;;Tadarida teniotis teniotis ;<i>Tadarida teniotis teniotis</i>;Tadarida teniotis (Rafinesque, 1814);Molosse de Cestoni;European Free-tailed Bat;;3;P;;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/60559
Chiroptera;Mormoopidae;;655353;186233;186233;655353;FM;Mormoopidae;Saussure, 1860;Mormoopidae Saussure, 1860;Mormoopidae Saussure, 1860;Mormoopidae Saussure, 1860;;;;;;P;P;P;;;;;;;;;;;;;;
Chiroptera;Mormoopidae;;443483;;;655353;FM;Mormoopidae;Koch, 1862;Mormoopidae Koch, 1862;Mormoopidae Koch, 1862;Mormoopidae Saussure, 1860;;;;;;P;P;P;;;;;;;;;;;;;;
Chiroptera;Mormoopidae;;443531;655353;655353;443531;GN;Mormoops;;Mormoops ;<i>Mormoops</i>;Mormoops ;;;;;;;;;;;;;;;;;;;;;;
Chiroptera;Mormoopidae;;443665;443531;443531;443665;ES;Mormoops megalophylla;(Peters, 1864);Mormoops megalophylla (Peters, 1864);<i>Mormoops megalophylla</i> (Peters, 1864);Mormoops megalophylla (Peters, 1864);;;CF-FMd;3;;Q;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443665
Chiroptera;Mormoopidae;;443532;655353;655353;443532;GN;Pteronotus;Gray, 1838;Pteronotus Gray, 1838;<i>Pteronotus</i> Gray, 1838;Pteronotus Gray, 1838;;;;;;P;P;P;;;;;;;;;;;;;;
Chiroptera;Mormoopidae;;902922;443532;443532;902922;ES;Pteronotus alitonus;Pavan, Bobrowiec & Percequillo, 2018;Pteronotus alitonus Pavan, Bobrowiec & Percequillo, 2018;<i>Pteronotus alitonus</i> Pavan, Bobrowiec & Percequillo, 2018;Pteronotus alitonus Pavan, Bobrowiec & Percequillo, 2018;;;FMu-CF-FMd;3;A;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;https://inpn.mnhn.fr/espece/cd_nom/902922
Chiroptera;Mormoopidae;;902929;;;902922;SSES;Pteronotus parnellii rubiginosus;auct. guy. non (Wagner, 1843) p.p.;Pteronotus parnellii rubiginosus auct. guy. non (Wagner, 1843) p.p.;<i>Pteronotus parnellii rubiginosus</i> auct. guy. non (Wagner, 1843) p.p.;Pteronotus alitonus Pavan, Bobrowiec & Percequillo, 2018;;;FMu-CF-FMd;3;A;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;https://inpn.mnhn.fr/espece/cd_nom/902929
Chiroptera;Mormoopidae;;902925;;;902922;ES;Pteronotus parnellii;auct. guy. non (Gray, 1843) p.p.;Pteronotus parnellii auct. guy. non (Gray, 1843) p.p.;<i>Pteronotus parnellii</i> auct. guy. non (Gray, 1843) p.p.;Pteronotus rubiginosus (Wagner, 1843);;;FMu-CF-FMd;3;A;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;https://inpn.mnhn.fr/espece/cd_nom/902925
Chiroptera;Mormoopidae;;532562;443532;443532;532562;ES;Pteronotus davyi;Gray, 1838;Pteronotus davyi Gray, 1838;<i>Pteronotus davyi</i> Gray, 1838;Pteronotus davyi Gray, 1838;Ptéronote de Davy, Chauve-souris à dos nu;;CF-FMd-CF;3;;;P;P;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/532562
Chiroptera;Mormoopidae;;443666;443532;443532;443666;ES;Pteronotus gymnonotus;Natterer, 1843;Pteronotus gymnonotus Natterer, 1843;<i>Pteronotus gymnonotus</i> Natterer, 1843;Pteronotus gymnonotus Natterer, 1843;;;CF-FMd-CF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443666
Chiroptera;Mormoopidae;;443668;443532;443532;443668;ES;Pteronotus personatus;(Wagner, 1843);Pteronotus personatus (Wagner, 1843);<i>Pteronotus personatus</i> (Wagner, 1843);Pteronotus personatus (Wagner, 1843);;;CF-FMd-CF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443668
Chiroptera;Mormoopidae;;655355;443532;443532;655355;ES;Pteronotus rubiginosus;(Wagner, 1843);Pteronotus rubiginosus (Wagner, 1843);<i>Pteronotus rubiginosus</i> (Wagner, 1843);Pteronotus rubiginosus (Wagner, 1843);;;FMu-CF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/655355
Chiroptera;Mormoopidae;;902934;;;655355;ES;Chilonycteris rubiginosus;Wagner, 1843;Chilonycteris rubiginosus Wagner, 1843;<i>Chilonycteris rubiginosus</i> Wagner, 1843;Pteronotus rubiginosus (Wagner, 1843);;;CF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/902934
Chiroptera;Natalidae;;443484;186233;186233;443484;FM;Natalidae;Gray, 1866;Natalidae Gray, 1866;Natalidae Gray, 1866;Natalidae Gray, 1866;;;;;;P;P;P;P;P;;;;;;;;;;;;
Chiroptera;Natalidae;;443533;443484;443484;443533;GN;Natalus;Gray, 1838;Natalus Gray, 1838;<i>Natalus</i> Gray, 1838;Natalus Gray, 1838;;;;;;P;P;P;P;P;;;;;;;;;;;;
Chiroptera;Natalidae;;533102;443533;443533;533102;ES;Natalus stramineus;Gray, 1838;Natalus stramineus Gray, 1838;<i>Natalus stramineus</i> Gray, 1838;Natalus stramineus Gray, 1838;Natalide isabelle, Natalide paillée;;FMd;3;;Q;S;S;S;S;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/533102
Chiroptera;Natalidae;;538283;533102;533102;538283;SSES;Natalus stramineus stramineus;Gray, 1838;Natalus stramineus stramineus Gray, 1838;<i>Natalus stramineus stramineus</i> Gray, 1838;Natalus stramineus stramineus Gray, 1838;;Lesser Antillean Funnel-eared Bat;FMd;3;;;;;P;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/538283
Chiroptera;Natalidae;;443669;443533;443533;443669;ES;Natalus tumidirostris;(Miller, 1900);Natalus tumidirostris (Miller, 1900);<i>Natalus tumidirostris</i> (Miller, 1900);Natalus tumidirostris (Miller, 1900);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443669
Chiroptera;Noctilionidae;;443485;186233;186233;443485;FM;Noctilionidae;Gray, 1821;Noctilionidae Gray, 1821;Noctilionidae Gray, 1821;Noctilionidae Gray, 1821;;;;;;P;P;P;P;P;;;;;;;;;;;;
Chiroptera;Noctilionidae;;443534;443485;443485;443534;GN;Noctilio;Linnaeus, 1766;Noctilio Linnaeus, 1766;<i>Noctilio</i> Linnaeus, 1766;Noctilio Linnaeus, 1766;;;;;;P;P;P;P;P;;;;;;;;;;;;
Chiroptera;Noctilionidae;;443670;443534;443534;443670;ES;Noctilio albiventris;Desmarest, 1818;Noctilio albiventris Desmarest, 1818;<i>Noctilio albiventris</i> Desmarest, 1818;Noctilio albiventris Desmarest, 1818;;;CF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443670
Chiroptera;Noctilionidae;;443671;443534;443534;443671;ES;Noctilio leporinus;(Linnaeus, 1758);Noctilio leporinus (Linnaeus, 1758);<i>Noctilio leporinus</i> (Linnaeus, 1758);Noctilio leporinus (Linnaeus, 1758);;Greater Bulldog Bat;CF-FMd;3;;P;P;P;P;P;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443671
Chiroptera;Noctilionidae;;538262;443671;443671;538262;SSES;Noctilio leporinus mastivus;(Vahl, 1797);Noctilio leporinus mastivus (Vahl, 1797);<i>Noctilio leporinus mastivus</i> (Vahl, 1797);Noctilio leporinus mastivus (Vahl, 1797);Noctilion pêcheur, Noctilion bec de lièvre, Chauve-souris bouledogue;Greater fishing bat;;3;;;;P;P;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/538262
Chiroptera;Phyllostomidae;;443486;186233;186233;443486;FM;Phyllostomidae;Gray, 1825;Phyllostomidae Gray, 1825;Phyllostomidae Gray, 1825;Phyllostomidae Gray, 1825;;;;3;;P;P;P;P;P;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Brachyphyllinae;655581;443486;443486;655581;SBFM;Brachyphyllinae;Gray, 1866;Brachyphyllinae Gray, 1866;Brachyphyllinae Gray, 1866;Brachyphyllinae Gray, 1866;;;;3;;;P;P;P;P;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Brachyphyllinae;532582;655581;655581;532582;GN;Brachyphylla;Gray, 1833;Brachyphylla Gray, 1833;<i>Brachyphylla</i> Gray, 1833;Brachyphylla Gray, 1833;;;;;;;P;P;P;P;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Brachyphyllinae;532583;532582;532582;532583;ES;Brachyphylla cavernarum;Gray, 1834;Brachyphylla cavernarum Gray, 1834;<i>Brachyphylla cavernarum</i> Gray, 1834;Brachyphylla cavernarum Gray, 1834;Brachyphylle des cavernes, Brachyphylle de Saint Vincent, Brachyphylle des Antilles;Lesser Antillean Fruit Bat, Antillean Fruit-eating Bat;FMd;3;;;P;P;P;P;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/532583
Chiroptera;Phyllostomidae;Brachyphyllinae;536083;532583;532583;536083;SSES;Brachyphylla cavernarum cavernarum;Gray, 1834;Brachyphylla cavernarum cavernarum Gray, 1834;<i>Brachyphylla cavernarum cavernarum</i> Gray, 1834;Brachyphylla cavernarum cavernarum Gray, 1834;Brachyphylle des Antilles;Antillean Cave Bat;;3;;;;P;P;P;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/536083
Chiroptera;Phyllostomidae;Carolliinae;655279;443486;443486;655279;SBFM;Carolliinae;Miller, 1924;Carolliinae Miller, 1924;Carolliinae Miller, 1924;Carolliinae Miller, 1924;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Carolliinae;443593;655279;655279;443593;GN;Carollia;Gray, 1838;Carollia Gray, 1838;<i>Carollia</i> Gray, 1838;Carollia Gray, 1838;;;;3;;P;;;;;;;;;;;;;;;;
