Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Chrrid;piaf;piaf;x;;;x;Chroicocephalus ridibundus;bird;Mouette rieuse;Chauve-souris
cicada;cicada;cicada;;;;;;cicada;;Chauve-souris
Cicatr;Cicatr;cigale;x;x;x;;Cicadatra atra;cicada;Cigale noire;Chauve-souris
Cicorn;Cicorn;cigale;x;x;x;;Cicada orni;cicada;Cigale grise;Chauve-souris
cigale;cigale;cigale;x;x;x;x;Cicadoidea sp.;cicada;Cigale sp.;Chauve-souris
Cincin;piaf;piaf;x;;;x;Cinclus cinclus;bird;Cincle plongeur;Chauve-souris
Ciraer;piaf;piaf;x;;;x;Circus aeruginosus;bird;Busard des roseaux;Chauve-souris
Cisjun;piaf;piaf;x;x;x;;Cisticola juncidis;bird;Cisticole des joncs;Chauve-souris
Coccoc;piaf;piaf;x;;;x;Coccothraustes coccothraustes;bird;Grosbec casse-noyaux;Chauve-souris
Colpal;piaf;piaf;x;;;x;Columba palumbus;bird;Pigeon ramier;Chauve-souris
Concon;Concon;Confus;x;x;x;;Conocephalus conocephalus;bush-cricket;Conocéphale africain;Chauve-souris
Condor;Condor;Confus;x;x;x;x;Conocephalus dorsalis;bush-cricket;Conocephale des marais;Chauve-souris
Confus;Confus;Confus;x;;x;x;Conocephalus fuscus;bush-cricket;Conocephale bigarre;Chauve-souris
Convex-FM-QCF?;Convex-FM-QCF?;Convex-FM-QCF?;;;;;;bat;;Chauve-souris
Corbre;Corbre;Corbre;;;;;Cormura brevirostris;bat;;Chauve-souris
Corcho;Epheph;Epheph;x;;;;Corsteropleurus chopardi;bush-cricket;Ephippigère corse;Chauve-souris
Corfru;piaf;piaf;x;;;x;Corvus frugilegus;bird;Corbeau freux;Chauve-souris
Cormon;piaf;piaf;x;;;x;Corvus monedula;bird;Choucas des tours;Chauve-souris
Cornix;piaf;piaf;x;x;x;;Corvus cornix;bird;Corneille mantelée;Chauve-souris
Corone;piaf;piaf;x;;;x;Corvus corone;bird;Corneille noire;Chauve-souris
Corrax;piaf;piaf;x;x;x;x;Corvus corax;bird;Grand Corbeau;Chauve-souris
Cotcot;piaf;piaf;x;;;x;Coturnix coturnix;bird;Caille des blés;Chauve-souris
criq;criq;criq;x;x;x;x;Caelifera sp.;grasshopper;Criquet sp.;Chauve-souris
Crorus;Mussp;Mussp;x;x;x;;Crocidura russula;other-mammal;Crocidure musette;Chauve-souris
Cuccan;piaf;piaf;x;;;x;Cuculus canorus;bird;Coucou gris;Chauve-souris
Culimp;Culimp;Culimp;x;;;x;Culicoides impunctatus;fly;Moustique;Chauve-souris
Cyacae;piaf;piaf;x;x;x;x;Cyanistes caerulea;bird;Mésange bleue;Chauve-souris
Cympud;Cympud;Cympud;x;;x;;Cymbalophora pudica;moth;Ecaille pudique;Chauve-souris
Cynabr;Cynabr;Cynabr;;;;;Cynomops abrasus;bat;;Chauve-souris
Cyngre;Cyngre;Cyngre;;;;;Cynomops greenhalli;bat;;Chauve-souris
Cynmil;Cynmil;Cynmil;;;;;Cynomops milleri;bat;;Chauve-souris
Cynpar;Cynpar;Cynpar;;;;;Cynomops paranus;bat;;Chauve-souris
Cynpla;Cynpla;Cynpla;;;;;Cynomops planirostris;bat;;Chauve-souris
Cyrscu;Cyrscu;Cyrscu;x;;x;;Cyrtaspis scutata;bush-cricket;Meconeme a bouclier;Chauve-souris
Cytale;Cytale;Cytale;;;;;Cyttarops alecto;bat;;Chauve-souris
Decalb;Decalb;Decalb;x;x;x;;Decticus albifrons;bush-cricket;Dectique a front blanc;Chauve-souris
Delurb;piaf;piaf;x;;;x;Delichon urbica;bird;Hirondelle de fenêtre;Chauve-souris
Denmaj;piaf;piaf;x;x;x;x;Dendrocopos major;bird;Pic épeiche;Chauve-souris
Denmin;piaf;piaf;x;;;x;Dendrocopos minor;bird;Pic épeichette;Chauve-souris
Dercin;Dercin;Dercin;;;;;Dermanura cinerea;bat;;Chauve-souris
Dereva;Dereva;Dereva;;;;;Dermanura eva;bat;Fer de Lance commun;Chauve-souris
Dergno;Dergno;Dergno;;;;;Dermanura gnoma;bat;;Chauve-souris
Desrot;Desrot;Desrot;;;;;Desmodus rotundus;bat;;Chauve-souris
Desyou;Desyou;Desyou;;;;;Desmodus youngii;bat;;Chauve-souris
Diayou;Diayou;Diayou;;;;;Diaemus youngii;bat;;Chauve-souris
Dicalb;Dicalb;Dicalb;;;;;Diclidurus albus;bat;;Chauve-souris
Dicing;Dicing;Dicing;;;;;Diclidurus ingens;bat;;Chauve-souris
Dicscu;Dicscu;Dicscu;;;;;Diclidurus scutatus;bat;;Chauve-souris
Dyspum;Dyspum;Dyspum;;;;;Dysopes pumilus;bat;Tadaride;Chauve-souris
Egrgar;piaf;piaf;x;;;x;Egretta garzetta;bird;Aigrette garzette;Chauve-souris
elec;noise;noise;x;x;x;x;electronical noise;noise;parasite;Chauve-souris
Embcae;piaf;piaf;x;x;x;;Emberiza caesia;bird;Bruant cendrillard;Chauve-souris
Embcal;piaf;piaf;x;x;x;x;Emberiza calandra;bird;Bruant proyer;Chauve-souris
Embcia;piaf;piaf;x;;;;Emberiza cia;bird;Bruant fou;Chauve-souris
Embcir;piaf;piaf;x;x;x;;Emberiza cirlus;bird;Bruant zizi;Chauve-souris
Embcit;piaf;piaf;x;x;x;x;Emberiza citrinella;bird;Bruant jaune;Chauve-souris
Embhor;piaf;piaf;x;;;;Emberiza hortulana;bird;Bruant ortolan;Chauve-souris
Embsch;piaf;piaf;x;x;x;x;Emberiza schoeniclus;bird;Bruant des roseaux;Chauve-souris
Epheph;Epheph;Epheph;x;;x;;Ephippiger ephippiger;bush-cricket;Ephippigere des vignes;Chauve-souris
Eptana;Eptnil;Eptnil;x;x;;;Eptesicus anatolicus;bat;Serotine d'Anatolie;Chauve-souris
Eptand;Eptand;Eptand;;;;;Eptesicus andinus;bat;;Chauve-souris
Eptatr;Eptatr;Eptatr;;;;;Eptesicus atratus;bat;SÃ©rotine de Nilsson;Chauve-souris
Eptbor;Eptbor;Eptbor;;;;;Eptesicus borealis;bat;SÃ©rotine de Nilsson;Chauve-souris
Eptbos;Eptbos;Eptbos;;;;;Eptesicus boscai;bat;SÃ©rotine commune;Chauve-souris
Eptbra;Eptbra;Eptbra;;;;;Eptesicus brasiliensis;bat;;Chauve-souris
Eptchi;Eptchi;Eptchi;;;;;Eptesicus chiriquinus;bat;;Chauve-souris
Eptfur;Eptfur;Eptfur;;;;;Eptesicus furinalis;bat;;Chauve-souris
Eptfus;Eptfus;Eptfus;;;;;Eptesicus fuscus;bat;SÃ©rotine brune;Chauve-souris
Eptgua;Eptgua;Eptgua;;;;;Eptesicus guadeloupensis;bat;SÃ©rotine de la Guadeloupe;Chauve-souris
Eptinc;Eptinc;Eptinc;;;;;Eptesicus incisivus;bat;SÃ©rotine commune;Chauve-souris
Eptins;Eptins;Eptins;;;;;Eptesicus insularis;bat;SÃ©rotine commune;Chauve-souris
Eptint;Eptint;Eptint;;;;;Eptesicus intermedius;bat;SÃ©rotine commune;Chauve-souris
Eptisa;Eptisa;Eptisa;;;x;;Eptesicus isabellinus;bat;Serotine isabelle;Chauve-souris
Eptkuh;Eptkuh;Eptkuh;;;;;Eptesicus kuhlii;bat;SÃ©rotine commune;Chauve-souris
Eptmer;Eptmer;Eptmer;;;;;Eptesicus meridionalis;bat;SÃ©rotine commune;Chauve-souris
Eptnil;Eptnil;Eptnil;x;;x;;Eptesicus nilssonii;bat;Sérotine boréale;Chauve-souris
Eptoke;Eptoke;Eptoke;;;;;Eptesicus okenii;bat;SÃ©rotine commune;Chauve-souris
Eptruf;Eptruf;Eptruf;;;;;Eptesicus rufescens;bat;SÃ©rotine commune;Chauve-souris
Eptser;Eptser;Eptser;x;x;x;x;Eptesicus serotinus;bat;Serotine commune;Chauve-souris
Epttra;Epttra;Epttra;;;;;Eptesicus transylvanus;bat;SÃ©rotine commune;Chauve-souris
Epttyp;Epttyp;Epttyp;;;;;Eptesicus typus;bat;SÃ©rotine commune;Chauve-souris
Eptwie;Eptwie;Eptwie;;;;;Eptesicus wiedii;bat;SÃ©rotine commune;Chauve-souris
Equasi;Equasi;Equasi;x;;;x;Equus asinus;other-mammal;Ane;Chauve-souris
Equfer;Equfer;Equfer;x;;;x;Equus ferus;other-mammal;Cheval;Chauve-souris
Erieur;Erieur;Erieur;x;;;x;Erinaceus europaeus;other-mammal;Hérisson d'Europe;Chauve-souris
Erirub;piaf;piaf;x;x;x;x;Erithacus rubecula;bird;Rougegorge familier;Chauve-souris
Euccho;criq;criq;x;x;x;x;Euchorthippus chopardii;grasshopper;Criquet des bragalous;Chauve-souris
Eucele;criq;criq;x;;;;Euchorthippus elegantulus;grasshopper;Criquet blafard;Chauve-souris
Eugpip;gril;gril;x;;;;Eugryllodes pipiens;ground-cricket;Grillon de montagne;Chauve-souris
Eumaur;Eumaur;Eumaur;;;;;Eumops auripendulus;bat;;Chauve-souris
Eumbor;gril;gril;x;x;x;;Eumodycogryllus bordigalensis;ground-cricket;Grillon bordelais;Chauve-souris
Eumgei;Eumgei;Eumgei;;;;;Eumops geijskesi;bat;;Chauve-souris
Eumhan;Eumhan;Eumhan;;;;;Eumops hansae;bat;;Chauve-souris
Eummau;Eummau;Eummau;;;;;Eumops maurus;bat;;Chauve-souris
Eupcha;Eupsp;Eupsp;x;x;;;Eupholidoptera chabrieri;bush-cricket;Decticelle splendide;Chauve-souris
Eupsp;Eupsp;Eupsp;x;x;;;Eupholidoptera sp.;bush-cricket;Decticelle splendide;Chauve-souris
Euptyr;Eupsp;Eupsp;x;x;x;;Eupholidoptera tyrrhenica;bush-cricket;Decticelle corse;Chauve-souris
Falsub;piaf;piaf;x;;;x;Falco subbuteo;bird;Faucon hobereau;Chauve-souris
Faltin;piaf;piaf;x;;;x;Falco tinnunculus;bird;Faucon crécerelle;Chauve-souris
fly;fly;fly;;;;;;fly;;Chauve-souris
