Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Pasdom;piaf;piaf;x;x;x;x;Passer domesticus;bird;Moineau domestique;Autre
Pavcri;piaf;piaf;x;;;x;Pavo cristatus;bird;Paon bleu;Autre
Pelbed;amph;amph;x;x;x;x;Pelophylax bedriagae;frog;Grenouille de Bedriaga;Autre
Pelesc;amph;amph;x;;;;Pelophylax esculantus;frog;Grenouille verte;Autre
Pelgra;amph;amph;x;;x;;Pelophylax grafi;frog;Grenouille de Graf;Autre
Pelrid;amph;amph;x;x;x;x;Pelophylax ridibundus;frog;Grenouille rieuse;Autre
Perate;piaf;piaf;x;x;x;x;Periparus ater;bird;Mésange noire;Autre
Pernap;piaf;piaf;x;;;;Pernis apivorus;bird;Bondrée apivore;Autre
Phacol;piaf;piaf;x;;;x;Phasianus colchicus;bird;Faisan de Colchide;Autre
Phafal;Phafal;Phafal;x;x;x;;Phaneroptera falcata;bush-cricket;Phaneroptere commun;Sauterelle
Phanan;Phanan;Phanan;x;x;x;;Phaneroptera nana;bush-cricket;Phaneroptere meridional;Sauterelle
Phofem;Phofem;Phofem;x;x;;;Pholidoptera femorata;bush-cricket;Decticelle des friches;Sauterelle
Phogri;Phogri;Phogri;x;x;x;x;Pholidoptera griseoaptera;bush-cricket;Decticelle cendree;Sauterelle
Phooch;piaf;piaf;x;;;;Phoenicurus ochruros;bird;Rougequeue noir;Autre
Phopho;piaf;piaf;x;x;x;x;Phoenicurus phoenicurus;bird;Rougequeue à front blanc;Autre
Phybon;piaf;piaf;x;;;;Phylloscopus bonelli;bird;Pouillot de Bonelli;Autre
Phycol;piaf;piaf;x;x;x;x;Phylloscopus collybita;bird;Pouillot véloce;Autre
Physib;piaf;piaf;x;;;x;Phylloscopus sibilatrix;bird;Pouillot siffleur;Autre
Phytro;piaf;piaf;x;;;x;Phylloscopus trochilus;bird;Pouillot fitis;Autre
piaf;piaf;piaf;x;x;x;x;Aves sp.;bird;Oiseau sp.;Autre
Picpic;piaf;piaf;x;x;x;x;Pica pica;bird;Pie bavarde;Autre
Picvir;piaf;piaf;x;;;x;Picus viridis;bird;Pic vert;Autre
Pipkuh;Pipkuh;Pipkuh;x;x;x;x;Pipistrellus kuhlii;bat;Pipistrelle de Kuhl;Chauve-souris
Pipmad;Pipmad;Pipmad;;;;;Pipistrellus madeirensis;bat;Pipistrelle de Madère;Chauve-souris
Pipnat;Pipnat;Pipnat;x;x;x;x;Pipistrellus nathusii;bat;Pipistrelle de Nathusius;Chauve-souris
Pippip;Pippip;Pippip;x;x;x;x;Pipistrellus pipistrellus;bat;Pipistrelle commune;Chauve-souris
Pippyg;Pippyg;Pippyg;x;x;x;x;Pipistrellus pygmaeus;bat;Pipistrelle soprane;Chauve-souris
Plaaff;Plaaff;Plaaff;x;;x;;Platycleis affinis;bush-cricket;Decticelle cotiere;Sauterelle
Plaalb;Plaalb;Plaalb;x;;x;x;Platycleis albopunctata;bush-cricket;Decticelle chagrinee;Sauterelle
Plafal;Plafal;Plafal;x;;x;;Platycleis falx;bush-cricket;Decticelle a serpe;Sauterelle
Plaibe;Plaibe;Plaibe;;;x;;Platycleis iberica;bush-cricket;Decticelle iberique;Sauterelle
