Espece,Int,Pente,Seuil50,Seuil90,Seuil95,Seuil99,FN50,FN90,FN95,FN99,FP50,FP90,FP95,FP99,Nvalid
Leppun,-5.80256205835152,14.4871171341089,0.401,0.553,0.604,0.718,0.220634920634921,0.434391534391534,0.514814814814815,0.732275132275132,0.114783653846154,0.0290644868301544,0.0163487738419619,0.00272479564032698,1890
Lyrple,-9.37245922236336,-3562.42331249321,Inf,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,1
mamm,-6.71700019313108,21.4574278337834,0.314,0.416,0.451,0.528,0.941176470588235,0.941176470588235,0.941176470588235,0.941176470588235,0,0,0,0,34
Metbra,-3.57036085522851,-3665.40743211605,Inf,Inf,Inf,Inf,1,1,1,1,NaN,NaN,NaN,NaN,34
Micagr,-7.70255475017486,30.5347718377693,0.253,0.325,0.349,0.403,0.65625,0.875,0.875,0.96875,0.3125,0.2,0,0,32
Minsch,-7.51993965182875,13.9087006026807,0.541,0.699,0.753,0.872,0.345514950166113,0.584717607973422,0.691029900332226,0.893687707641196,0.165254237288136,0.0310077519379845,0.0232558139534884,0,301
Mussp,-7.72542466480034,59.0593199210048,0.131,0.169,0.181,0.209,1,1,1,1,NaN,NaN,NaN,NaN,17
Myoalc,-7.8684686733871,27.0798638983874,0.291,0.372,0.4,0.461,1,1,1,1,1,NaN,NaN,NaN,24
Myobec,-7.45102667787275,36.7508401770906,0.203,0.263,0.283,0.328,1,1,1,1,1,1,1,1,33
Myocap,-6.1997090257489,13.0474761729961,0.476,0.644,0.701,0.828,0.800711743772242,0.98932384341637,0.99288256227758,1,0.525423728813559,0.5,0.166666666666667,0,281
Myodas,-7.65583565949883,26.2302055771646,0.292,0.376,0.405,0.468,1,1,1,1,1,1,1,1,14
Myodau,-6.83061568906834,16.1869711623077,0.422,0.558,0.604,0.706,0.612403100775194,0.926356589147287,0.957364341085271,0.992248062015504,0.354838709677419,0.0952380952380952,0.0476190476190476,0,258
Myoema,-6.24248931161705,11.6397670714862,0.537,0.726,0.79,0.932,0.738853503184713,0.942675159235669,0.968152866242038,1,0.338709677419355,0,0,0,157
MyoGT,-6.7152747579015,17.4396902449695,0.386,0.512,0.554,0.649,0.688,0.808,0.896,0.968,0.360655737704918,0.172413793103448,0.103448275862069,0,125
Myomys,-6.37775332450552,13.4627312006691,0.474,0.637,0.693,0.816,0.83625730994152,0.964912280701754,0.964912280701754,1,0.533333333333333,0.25,0,0,171
Myonat,-7.66658837109041,16.1400583358206,0.476,0.612,0.658,0.76,0.425925925925926,0.592592592592593,0.654320987654321,0.765432098765432,0.176991150442478,0.0434782608695652,0.0289855072463768,0.0144927536231884,162
noise,-2.87730684076189,8.40635906587245,0.343,0.604,0.693,0.889,0.444592536176695,0.828446306169078,0.912033511043412,0.988194973343488,0.277791532557564,0.0594989561586639,0.0177453027139875,0,5252
Nyclas,-7.03298030447156,21.3407025652693,0.33,0.433,0.468,0.545,0.657534246575342,0.849315068493151,0.876712328767123,0.931506849315068,0.390243902439024,0.214285714285714,0.214285714285714,0,73
Nyclei,-6.0447298915649,12.3437193888357,0.49,0.668,0.729,0.862,0.458100558659218,0.70391061452514,0.787709497206704,0.980446927374302,0.214574898785425,0.0535714285714286,0.0357142857142857,0,358
Nycnoc,-6.75846819168649,13.8423092097425,0.489,0.647,0.701,0.821,0.478764478764479,0.783783783783784,0.841698841698842,0.988416988416988,0.293193717277487,0.125,0.046875,0,259
Phafal,-7.18488435749477,28.9624136644962,0.249,0.324,0.35,0.407,0.842105263157895,0.947368421052632,0.973684210526316,1,0.538461538461538,0.5,0.25,0.25,38
Phanan,-5.47453282335512,12.4333060700684,0.441,0.618,0.678,0.81,0.464373464373464,0.7002457002457,0.778869778869779,0.911547911547912,0.212996389891697,0.0687022900763359,0.0190839694656489,0,814
Phofem,-5.85508759945473,23.0939056850802,0.254,0.349,0.382,0.453,0.937931034482759,1,1,1,0.617021276595745,1,0,0,290
